bookId,title,authors,averageRating,isbn,isbn13,languageCode,numPages,ratingsCount,textReviewsCount,publicationDate,publisher,createdAt,updatedAt
1171,Liar's Poker,Michael   Lewis,4.15,140143459,9.78014E+12,eng,256,22843,936,10/1/90,Penguin Books,4/15/20 11:06,4/15/20 11:06
1177,Liar's Poker: A Harry Garnish Mystery,Frank McConnell,3.31,802732291,9.7808E+12,eng,214,13,1,6/1/93,Walker & Company,4/15/20 11:06,4/15/20 11:06
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,1841721476,6.94055E+11,eng,64,8,2,3/1/01,Ryland Peters & Small,4/15/20 11:06,4/15/20 11:06
1191,Giada's Family Dinners,Giada De Laurentiis/Victoria Pearson,3.96,030723827X,9.78031E+12,eng,256,14103,74,4/4/06,Clarkson Potter,4/15/20 11:06,4/15/20 11:06
1192,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,3.95,1400052580,9.7814E+12,eng,256,40125,217,2/22/05,Clarkson Potter,4/15/20 11:06,4/15/20 11:06
1193,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,4.09,307346587,9.78031E+12,eng,240,8822,55,4/3/07,Clarkson Potter,4/15/20 11:06,4/15/20 11:06
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,4.09,1400052386,9.7814E+12,eng,256,3697,34,9/26/06,Clarkson Potter,4/15/20 11:06,4/15/20 11:06
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,4.06,609609971,9.78061E+12,eng,304,1426,16,3/25/03,Clarkson Potter Publishers,4/15/20 11:06,4/15/20 11:06
1198,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,3.92,1400052378,9.7814E+12,eng,287,275,15,10/1/04,Clarkson Potter Publishers,4/15/20 11:06,4/15/20 11:06
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,61234001,9.78006E+12,eng,320,628745,13034,10/17/06,William Morrow,4/15/20 11:06,4/15/20 11:06
1204,Freakonomics: Un economista políticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,3.97,8466625127,9.78847E+12,spa,250,193,23,8/1/06,Ediciones B,4/15/20 11:06,4/15/20 11:06
1206,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,3.97,61245135,9.78006E+12,en-US,496,98,5,12/8/06,Harper,4/15/20 11:06,4/15/20 11:06
1218,The Last Assassin (John Rain  #5),Barry Eisler,4.27,399153594,9.7804E+12,eng,338,189,25,6/1/06,Putnam Publishing Group,4/15/20 11:06,4/15/20 11:06
1226,Life of Pi,Yann Martel,3.91,156030209,9.78016E+12,en-US,401,4318,668,5/3/04,Mariner Books / Harvest Books,4/15/20 11:06,4/15/20 11:06
1230,L'Histoire de Pi,Yann Martel/Nicole Martel/Emile Martel,3.91,828808392,9.78083E+12,fre,448,177,26,11/24/05,Gallimard,4/15/20 11:06,4/15/20 11:06
1234,Shadows and Wind: A View of Modern Vietnam,Robert Templer,3.49,140285970,9.78014E+12,eng,400,102,8,9/1/99,Penguin Books,4/15/20 11:06,4/15/20 11:06
1241,A Million Little Pieces,James Frey,3.65,307276902,9.78031E+12,eng,515,206011,10821,9/22/05,Anchor Books,4/15/20 11:06,4/15/20 11:06
1242,A Million Little Pieces of Feces,Python Bonkers,3.56,1411677315,9.78141E+12,en-US,256,43,6,2/10/06,Lulu.com,4/15/20 11:06,4/15/20 11:06
1243,A Million Little Lies,James Pinocchio/Pablo Fenjves,3.41,61171468,9.78006E+12,en-US,191,201,24,3/28/06,William Morrow Paperbacks,4/15/20 11:06,4/15/20 11:06
1246,The Leadership Challenge,James M. Kouzes/Barry Z. Posner,4.05,787968331,9.78079E+12,en-US,458,873,40,8/7/03,Jossey-Bass,4/15/20 11:06,4/15/20 11:06
1252,Lincoln on Leadership: Executive Strategies for Tough Times,Donald T. Phillips,4.14,446394599,9.78045E+12,eng,193,5354,281,2/1/93,Business Plus,4/15/20 11:06,4/15/20 11:06
1255,Leadership in Organizations,Gary Yukl,3.68,131494848,9.78013E+12,en-GB,542,55,4,7/7/05,Prentice Hall,4/15/20 11:06,4/15/20 11:06
1265,Leadership,Rudolph W. Giuliani,3.72,316861014,9.78032E+12,eng,397,1820,147,10/1/02,Little  Brown,4/15/20 11:06,4/15/20 11:06
1274,Men Are from Mars  Women Are from Venus,John Gray,3.55,60574216,9.78006E+12,eng,368,132062,3303,4/3/12,Harper Paperbacks,4/15/20 11:06,4/15/20 11:06
1276,Mars and Venus Book of Days: 365 Inspriations to Enrich Your Relationships,John Gray,3.62,60192771,9.78006E+12,en-US,368,18,1,10/21/98,Harper,4/15/20 11:06,4/15/20 11:06
1281,Men Are from Mars  Women Are from Venus,John Gray,3.55,006123205X,9.78006E+12,eng,2,43,3,4/3/07,HarperAudio,4/15/20 11:06,4/15/20 11:06
1290,How to Succeed with Women,Ron  Louis/David Copeland,3.76,735200300,9.78074E+12,en-US,320,82,13,10/29/98,Prentice Hall Press,4/15/20 11:06,4/15/20 11:06
1295,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,553381679,9.78055E+12,eng,512,184418,4432,6/25/02,Bantam,4/15/20 11:06,4/15/20 11:06
1296,The Clan of the Cave Bear (Earth's Children  #1),Jean M. Auel,4.05,517542021,9.78052E+12,eng,468,495,67,5/4/80,Crown Publishing Group,4/15/20 11:06,4/15/20 11:06
1301,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,4.26,393324818,9.78039E+12,eng,317,85094,4155,3/17/04,W. W. Norton  Company,4/15/20 11:06,4/15/20 11:06
